報道発表品目名,１．食料品,２．原料品,３．鉱物性燃料,４．化学製品,５．原料別製品,６．一般機械,７．電気機器,８．輸送用機器,９．その他
2012/08,28384562,79061751,95197761,528326741,684132854,1029004993,954315014,1062711079,583270611
2012/09,29817102,80973326,103319451,526558027,694377439,1028780199,1021052758,1206870473,666184503
2012/10,30573324,90406644,82146456,540880249,670453605,977235131,947753077,1172300151,636262327
2012/11,32452732,86843057,68768305,513620039,652409392,956294817,915030194,1144760084,613001090
2012/12,37507855,101460169,77709068,560178024,703543787,1056882426,948970700,1172777511,639517382
2013/01,27808840,86141988,78637580,547188673,636412096,867733909,779488639,1199947250,575213994
2013/02,28375203,102191792,72057352,566915291,711115700,1019514521,855973453,1299454013,627671881
2013/03,35835882,122657155,114473373,669444845,852601711,1279290658,1069988935,1432288482,693668080
2013/04,35290618,113664743,130879744,634485445,779606670,1078189762,990918117,1350337758,662396840
2013/05,36621995,107662151,173363205,613230341,789601579,1089142921,982227016,1283714098,689640980
2013/06,34808849,102135956,130656809,633939882,807616238,1166610245,1052886263,1409784114,720172308
2013/07,35331892,95851612,140958478,627496697,781392514,1148318101,1022405103,1432117712,674625334
2013/08,38405016,92401664,135414734,664333007,776468166,1104438867,1056485017,1224314061,689849307
2013/09,35950870,91633290,177970734,609716559,743935577,1108157583,1074837139,1436631086,692117530
2013/10,39490965,98192767,148442391,646415266,759437124,1124754053,1089630723,1452856625,743749442
2013/11,40289004,92943270,122080009,622614098,736860809,1132991965,1024337700,1437520136,689174966
2013/12,47563578,100798041,107985806,671572889,801791654,1239872320,1052464390,1373088053,714041313
2014/01,30833608,82276161,121158182,626549757,683065575,985694420,858809042,1272102157,591428130
2014/02,34212209,93806667,126188861,659184425,735136636,1163176175,947398553,1385672588,654393943
2014/03,38878086,101549987,149748841,679609245,832203362,1308480921,1075023475,1466479571,731302020
2014/04,39592747,102146810,146384626,660151424,779850936,1194033400,1043265721,1413253686,688502809
2014/05,37161911,100674497,93691699,612306262,784342933,1116011425,988354421,1189914811,683550798
2014/06,37333043,106089802,106396183,606037283,805832839,1162335278,999465045,1401578859,714947440
